Treatment,Timepoint,NMDS1,NMDS2,t.group.distances,Treatment_disp,Timepoint_disp,trt_tp
2spp,t0,0.05630369204103539,0.0812734432498724,0.24055068836045124,2spp,t0,2spp_t0
2spp,t1,0.03996109481682038,-0.052013643090688885,0.35201106319604303,2spp,t1,2spp_t1
2spp,t2,0.013577705679310867,0.04546105521679439,0.3882017916098417,2spp,t2,2spp_t2
2spp,t3,0.027710875010824365,-0.28351536593906185,0.4635326347940594,2spp,t3,2spp_t3
2spp,t4,-0.06656015162775882,-0.22008241647050436,0.38717968304195316,2spp,t4,2spp_t4
2spp,t5,-0.05008375836636453,-0.18622215209503715,0.35702007031827304,2spp,t5,2spp_t5
2spp,t6,0.05182164573538674,-0.08551207775374073,0.3493868110218599,2spp,t6,2spp_t6
2spp+WM,t0,0.022321242221816417,0.30464245624428105,0.29964152119700727,2spp+WM,t0,2spp+WM_t0
2spp+WM,t1,-0.0724280225081676,0.28193741358621377,0.2896029615726825,2spp+WM,t1,2spp+WM_t1
2spp+WM,t2,-0.11342151663373531,-0.1976118681500056,0.40585775106642935,2spp+WM,t2,2spp+WM_t2
2spp+WM,t3,0.07579844214807971,0.06903415036699533,0.35958288202745303,2spp+WM,t3,2spp+WM_t3
2spp+WM,t4,-0.031073523867809302,0.13213782151735387,0.3553669125393467,2spp+WM,t4,2spp+WM_t4
2spp+WM,t5,-0.15681300815474752,-0.14339882612260516,0.31966169326842625,2spp+WM,t5,2spp+WM_t5
2spp+WM,t6,-0.09883381137985389,0.05122560652071312,0.33168569153212324,2spp+WM,t6,2spp+WM_t6
CC,t0,0.3388879669456085,-0.025255996528111203,0.3474999999999997,CC,t0,CC_t0
CC,t1,0.11086592630791067,0.15279530862135782,0.324505023377202,CC,t1,CC_t1
CC,t2,0.26897728536370225,-0.051117061088458135,0.3436406720091361,CC,t2,CC_t2
CC,t3,0.2578569534007611,0.06559904587060678,0.3734858227516138,CC,t3,CC_t3
CC,t4,0.42812228538151514,-0.06182146427029228,0.3952760646607385,CC,t4,CC_t4
CC,t5,0.2950567622379695,-0.05223784206027499,0.3701285632862022,CC,t5,CC_t5
CC,t6,0.28874176663126117,-0.020162994535783574,0.3375955035725621,CC,t6,CC_t6
CC+WM,t0,-0.12905603267387578,0.11573949895711452,0.2650146865820889,CC+WM,t0,CC+WM_t0
CC+WM,t1,0.3200499342692755,0.1124812834438674,0.37469467785814603,CC+WM,t1,CC+WM_t1
CC+WM,t2,0.28065313979249007,0.20211087357704693,0.41904110083468815,CC+WM,t2,CC+WM_t2
CC+WM,t3,0.2074498510582325,0.004128990490722451,0.36914666031046384,CC+WM,t3,CC+WM_t3
CC+WM,t4,0.35143458025030333,0.023744083203226435,0.43235708971341424,CC+WM,t4,CC+WM_t4
CC+WM,t5,0.2884798331979259,0.07935473516659686,0.3827044021288001,CC+WM,t5,CC+WM_t5
CC+WM,t6,0.2861068289736737,0.07219587685596582,0.36878000855286025,CC+WM,t6,CC+WM_t6
F+W,t0,-0.3278895295900738,-0.01863257544035756,0.2275739201100212,F+W,t0,F+W_t0
F+W,t1,-0.12238251915866678,0.04337396266453576,0.2847099182673345,F+W,t1,F+W_t1
F+W,t2,-0.30486073380121836,-0.1997948994754763,0.34660583530817735,F+W,t2,F+W_t2
F+W,t3,-0.15877424331862922,-0.25312943452473147,0.3753960593240051,F+W,t3,F+W_t3
F+W,t4,-0.39184683889339816,-0.04406815089429658,0.34067329702907256,F+W,t4,F+W_t4
F+W,t5,-0.22293501741684904,-0.11711859913765063,0.30743275700746364,F+W,t5,F+W_t5
F+W,t6,-0.18068972068294298,-0.05151523654967024,0.30019719229474207,F+W,t6,F+W_t6
F+WM,t0,-0.18336663851933893,-0.0574869426969612,0.21600925173469981,F+WM,t0,F+WM_t0
F+WM,t1,-0.31746368008343295,-0.08503299566912492,0.31393530929950597,F+WM,t1,F+WM_t1
F+WM,t2,-0.26811867196118444,0.13409645581136348,0.35279458141451264,F+WM,t2,F+WM_t2
F+WM,t3,-0.2661484052492506,0.24445994125247078,0.36471697398203673,F+WM,t3,F+WM_t3
F+WM,t4,-0.1510031783387844,0.015337123718457545,0.34814815350775236,F+WM,t4,F+WM_t4
F+WM,t5,-0.3421002274108986,0.0793435960343302,0.347711768777565,F+WM,t5,F+WM_t5
F+WM,t6,-0.1702672643976864,-0.018444825851665583,0.30520677367032834,F+WM,t6,F+WM_t6
Tr,t0,0.2239474453186594,0.002354165370577088,0.34281249999999996,Tr,t0,Tr_t0
Tr,t1,-0.018027861213402233,0.041529594468603596,0.3784618440720875,Tr,t1,Tr_t1
Tr,t2,-0.027430992758409142,0.047687639504555894,0.3651111627045314,Tr,t2,Tr_t2
Tr,t3,-0.05668076022306576,0.019711367022125677,0.3584404729121344,Tr,t3,Tr_t3
Tr,t4,-0.04248946936915224,-0.14013602161546945,0.42781999957825034,Tr,t4,Tr_t4
Tr,t5,0.07635574223552893,-0.14485692824091617,0.36351122092459354,Tr,t5,Tr_t5
Tr,t6,-0.07990001055273527,0.005238825938121722,0.39837408657014495,Tr,t6,Tr_t6
Tr+WM,t0,-0.33771244480535434,0.0515063794041952,0.22327122671001856,Tr+WM,t0,Tr+WM_t0
Tr+WM,t1,-0.007320755920770139,0.2391159675221092,0.37195116159962877,Tr+WM,t1,Tr+WM_t1
Tr+WM,t2,0.08195964564429195,-0.13473127484256753,0.417270556357849,Tr+WM,t2,Tr+WM_t2
Tr+WM,t3,0.01932385821994459,0.14857731603035013,0.39266926426874565,Tr+WM,t3,Tr+WM_t3
Tr+WM,t4,0.1650027360310129,0.2463582297730181,0.42679607504197353,Tr+WM,t4,Tr+WM_t4
Tr+WM,t5,0.012144781767400997,-0.13783763384133227,0.39561116924221784,Tr+WM,t5,Tr+WM_t5
Tr+WM,t6,-0.0615153813339468,-0.10374476623845383,0.37621144506073456,Tr+WM,t6,Tr+WM_t6
